time,ur20-shoulder_pan_joint,ur20-shoulder_lift_joint,ur20-elbow_joint,ur20-wrist_1_joint,ur20-wrist_2_joint,ur20-wrist_3_joint,target-POS_X,target-POS_Y,target-POS_Z,target-ROT_X,target-ROT_Y,target-ROT_Z,target-ROT_W,speed_scale
0.0,1.9927528540240687,-0.6606019178973597,1.445325255393982,-0.784722626209259,-2.7196171283721924,0.0,-0.2849985361099243,1.0089396238327026,0.09099575132131577,0.5000044107437134,0.49999532103538513,0.4999951422214508,0.5000049471855164,0.25
1.0,1.9768638000407317,-0.6348111434299344,1.3645879047200755,-0.7297770053718493,-2.7355060457572566,0.0,-0.28504276275634766,1.05709707736969,0.10236123949289322,0.5000048279762268,0.4999952018260956,0.4999952018260956,0.5000047087669373,0.46961161629387127
2.0,1.9743034220719895,-0.6293560068521833,1.3499877917730736,-0.7206317736966148,-2.738066377541963,0.0,-0.2851601839065552,1.065437912940979,0.10355451703071594,0.5000047087669373,0.4999951720237732,0.4999951720237732,0.500004768371582,0.30606616259539804
3.0,1.9595818519838861,-0.6004899274909877,1.2632728663818642,-0.6627828424549681,-2.752788113459234,0.0,-0.2850337028503418,1.113397479057312,0.11569170653820038,0.5000047087669373,0.49999526143074036,0.4999952018260956,0.5000048279762268,0.3267251973047875
4.0,1.9458496524026203,-0.566997870311742,1.1693984121292043,-0.6024007256252131,-2.7665200915750616,0.0,-0.2850370407104492,1.1615464687347412,0.12708449363708496,0.5000048279762268,0.4999951720237732,0.4999951720237732,0.500004768371582,0.4204951143500615
5.0,1.9275226312839384,-0.4962117699592266,1.0212069437184192,-0.4921727769108626,-2.699805526408469,0.0,-0.28457319736480713,1.1931060552597046,0.12770162522792816,0.5099868774414062,0.48259487748146057,0.4738544225692749,0.5314860343933105,0.45627329272177913
6.0,1.950648397132327,-0.5786132649043249,1.2038750155744913,-0.6252618780024762,-2.761721585263934,0.0,-0.28503382205963135,1.1443506479263306,0.12188121676445007,0.500004768371582,0.49999526143074036,0.4999952018260956,0.5000046491622925,0.32456597599309095
7.0,1.9647154684271102,-0.61062384232999,1.2951626304237127,-0.6845389718939022,-2.7476542662990577,0.0,-0.28503668308258057,1.09620201587677,0.11048389226198196,0.5000048279762268,0.4999951422214508,0.4999951422214508,0.5000047087669373,0.424259415776844
8.0,1.911586976266794,-0.7013236756148256,1.3782516108104153,-0.9964332999326766,-2.6375706030513566,0.0,-0.23617494106292725,1.0817861557006836,0.12586671113967896,0.6373865008354187,0.41180720925331116,0.49168604612350464,0.42708078026771545,1.0
9.0,1.8486985049093358,-0.8007540903735483,1.460612773948644,-1.3450408849652702,-2.513661034543614,0.0,-0.1929193139076233,1.0888007879257202,0.14067469537258148,0.7702802419662476,0.3042178452014923,0.45927733182907104,0.3212226331233978,1.0
10.0,1.7858100335518776,-0.900184505132271,1.542973937086873,-1.693648469997864,-2.389751466035872,0.0,-0.15945231914520264,1.1171369552612305,0.16547027230262756,0.8704057335853577,0.19687046110630035,0.40783214569091797,0.1931544691324234,1.0
11.0,1.69613536141629,-1.011302934181436,1.613281719506794,-1.914033147461684,-2.1508737162224496,0.0,-0.1294742375612259,1.1216181516647339,0.19944927096366882,0.9460489153862,0.09633434563875198,0.2907848060131073,0.10561787337064743,0.30534086184973175
12.0,1.5138219586474608,-1.1692250077983846,1.777841983592405,-2.179413346300307,-1.5707963705062866,0.0,-0.13845254480838776,1.103754997253418,0.22480416297912598,-0.9995942711830139,0.028483333066105843,-2.2889491191335765e-08,2.502960860795156e-08,0.6189097774259353
13.0,1.5211848881679038,-1.1201890936956476,1.6999244541504397,-2.150531610843606,-1.5707963157781992,0.0,-0.14408282935619354,1.1529111862182617,0.2247738242149353,0.9996923208236694,-0.02480315789580345,1.903832647087711e-08,9.982223048154992e-08,0.2505840659293141
14.0,1.5184873557935896,-1.0228521051847326,1.5179405535982318,-1.9227713170946998,-1.5783339740925697,0.0,-0.13552971184253693,1.2012680768966675,0.21884828805923462,0.9970996379852295,-0.02581503987312317,0.001888176891952753,0.0715690329670906,0.5815722454234666
15.0,1.5154921131440635,-1.081733052429548,1.6249668930251622,-2.046690601263564,-1.5745168146375599,0.0,-0.13512244820594788,1.1708344221115112,0.22244399785995483,0.9990511536598206,-0.02757028117775917,0.0009277141653001308,0.0337018258869648,0.9255102212121297
16.0,1.5058801179853523,-1.08687165694704,1.6233773028925957,-1.9331284291520707,-1.5820580182372481,0.0,-0.12383373081684113,1.1273804903030396,0.2168494462966919,0.9956856966018677,-0.031839411705732346,0.0027839893009513617,0.08711159229278564,0.44286311330691064
17.0,1.488819435838654,-1.1165253009966343,1.6645316665559409,-1.9448431586695893,-1.5850127061459847,0.0,-0.10565317422151566,1.1022915840148926,0.22125989198684692,0.9953830242156982,-0.04020405188202858,0.003515711287036538,0.08708517253398895,0.30861687502813817
18.0,1.4970159779875776,-1.062133238048391,1.5890558992582138,-1.9236502452757518,-1.5835934499222577,0.0,-0.11159471422433853,1.150665283203125,0.21273097395896912,0.9955371618270874,-0.036185652017593384,0.003164111403748393,0.08709871768951416,0.3152341111170956
19.0,1.5041459751614836,-1.017597365821756,1.5021448730683806,-1.881187395642061,-1.5823586215422594,0.0,-0.11707606911659241,1.1977890729904175,0.22029203176498413,0.9956579804420471,-0.03268970921635628,0.0028583561070263386,0.08711034804582596,0.3316873923893289
20.0,1.4897044513564346,-1.0262679381239403,1.5152838590456459,-1.8858379839774502,-1.5848599196499147,0.0,-0.09943224489688873,1.1914793252944946,0.2213420271873474,0.9954003691673279,-0.03977014496922493,0.0034779447596520185,0.08708784729242325,0.25003852311134245
21.0,1.483305220496159,-1.0713294258480734,1.6024025062611218,-1.9279896570648927,-1.5859669912304144,0.0,-0.0956231951713562,1.1436506509780884,0.21397815644741058,0.9952701330184937,-0.04290717840194702,0.0037522357888519764,0.08707528561353683,0.41523092323068916
22.0,1.4707300268900914,-1.1189606470627884,1.6683590330649194,-1.9465195404454534,-1.588140976046178,0.0,-0.08471812307834625,1.1016160249710083,0.22135749459266663,0.9949855208396912,-0.049070749431848526,0.004291393794119358,0.08704885095357895,0.3988896194321962
23.0,1.470465498276131,-1.0741656912230444,1.6067403607577453,-1.9296972113440733,-1.588187034810414,0.0,-0.08033602684736252,1.1420952081680298,0.21423497796058655,0.9949789047241211,-0.04920034855604172,0.0043028066866099834,0.08704983443021774,0.28250893512855635
24.0,1.4775885351695281,-1.0288839888549954,1.5205600952408178,-1.8886788577471696,-1.5869559408916427,0.0,-0.08443672209978104,1.1897655725479126,0.22082556784152985,0.995145320892334,-0.0457092747092247,0.003997433930635452,0.08706545829772949,0.26859716800004885
25.0,1.468389703636153,-1.0191858119399175,1.505524117797086,-1.883724021296216,-1.5885192605751692,0.0,-0.07195211946964264,1.1995092630386353,0.2199573516845703,0.9949379563331604,-0.050220292061567307,0.0043845409527421,0.08693171292543411,0.25001043525055694
26.0,1.4503812537114655,-1.1218320839938287,1.6960420705095498,-2.1209532798569852,-1.5736550691524402,0.0,-0.06207439303398132,1.1516797542572021,0.22504663467407227,0.9981158971786499,-0.06014958769083023,0.0007030789856798947,0.012090373784303665,0.7250856584499179
27.0,1.4431090310820984,-1.176052925922319,1.78616008709258,-2.1743509617040244,-1.5715750955482362,0.0,-0.06091637536883354,1.1022158861160278,0.22516025602817535,0.9979572296142578,-0.06379865109920502,0.00017953707720153034,0.003294417168945074,0.7928643436727776
28.0,1.430454079191098,-1.1799384362317016,1.7945456194753722,-2.1854033251699296,-1.5707962778403683,0.0,-0.04760298132896423,1.100533127784729,0.22479426860809326,0.9975389838218689,-0.07011351734399796,-4.813382048496351e-08,1.3539867893541668e-07,0.3440534040924127
29.0,1.441848098025881,-1.124899369530358,1.7034745269105913,-2.129370925101327,-1.5731453852025623,0.0,-0.05276632681488991,1.1496838331222534,0.22413375973701477,0.9978723526000977,-0.06441448628902435,0.0005277287564240396,0.010055010206997395,0.3731992822747262
30.0,1.4562465973869216,-1.020879598619925,1.5081606758067037,-1.884703522531928,-1.590637850716116,0.0,-0.05674116313457489,1.1986626386642456,0.22013269364833832,0.9946116805076599,-0.056168295443058014,0.004911307245492935,0.08699794858694077,0.29224156940846013
31.0,1.442624352771905,-1.0309172928253518,1.5230073237163306,-1.8900572612713864,-1.5929932382361816,0.0,-0.04062848165631294,1.19045889377594,0.22159284353256226,0.9942235350608826,-0.06284335255622864,0.005507180001586676,0.0868326872587204,0.39538847972639724
32.0,1.4263504452984308,-1.1399866897289537,1.7316741279228007,-2.1624838251534433,-1.5707963561070837,0.0,-0.037178222090005875,1.14133620262146,0.22479598224163055,-0.997393012046814,0.07216015458106995,-3.178796248448634e-08,1.0281466700234887e-07,0.37341811888627885
33.0,1.426622253129168,-1.0909833518888992,1.6347281549080415,-2.022449849550999,-1.5837922935078752,0.0,-0.02957276813685894,1.1607264280319214,0.22270280122756958,0.9963461756706238,-0.07164842635393143,0.003159026149660349,0.04637645557522774,0.9424092284149382
34.0,1.4352000217132705,-1.0099838292291654,1.4925649992468117,-1.8804385331819942,-1.594263765045646,0.0,-0.028788471594452858,1.2090719938278198,0.21827948093414307,0.9939752221107483,-0.06647749990224838,0.005812488030642271,0.08694936335086823,0.2790982290454907
35.0,1.287460621774323,-0.9767479197598169,1.5537451184920525,-1.7505760151411842,-1.028070783073737,0.0,-0.07487338781356812,1.1794466972351074,0.18490803241729736,0.9275388121604919,-0.18571053445339203,-0.28698185086250305,0.15107877552509308,0.7110052218822763
36.0,1.2617568245971433,-0.964447357238063,1.5487002928106306,-1.7101600657030247,-0.8811436917270309,0.0,-0.08809363842010498,1.1974743604660034,0.20378994941711426,0.8955312371253967,-0.21496352553367615,-0.35773131251335144,0.15441083908081055,0.44278316908594406
37.0,1.2297280692514434,-1.0486835503392586,1.7282088125735966,-1.9275463398891601,-0.8414558473651955,0.0,-0.08010904490947723,1.1489574909210205,0.20047082006931305,0.8989997506141663,-0.21296527981758118,-0.37237754464149475,0.08820506930351257,0.28278561740759056
38.0,1.2088409238409772,-1.0869665912175996,1.8032621910726683,-1.9467875214882222,-0.8482573035739984,0.0,-0.07281061261892319,1.100656270980835,0.19320671260356903,0.8961100578308105,-0.22481629252433777,-0.37117937207221985,0.09311337769031525,0.5561628161104271
39.0,1.1579559658304335,-1.0042877995143007,1.74525642302803,-1.696863577065666,-0.7897475305595137,0.0,-0.044854238629341125,1.0800840854644775,0.15466275811195374,0.839026153087616,-0.29339632391929626,-0.41247671842575073,0.1995406150817871,1.0
40.0,1.100116797490367,-0.8947238030605358,1.6586573009140513,-1.3894184242982401,-0.7173002473421051,0.0,-0.008270442485809326,1.0723400115966797,0.12604796886444092,0.7442321181297302,-0.37223032116889954,-0.4550064206123352,0.3170683681964874,1.0
41.0,1.0422776291503004,-0.7851598066067713,1.5720581788000727,-1.0819732715308157,-0.6448529641246967,0.0,0.03605265915393829,1.0758570432662964,0.10936766862869263,0.6243841052055359,-0.444460391998291,-0.4855000674724579,0.4205818176269531,1.0
42.0,0.9929956027616329,-0.6844205492295407,1.4856478086440992,-0.8012272243534059,-0.5777816467556262,0.0,0.0850469097495079,1.0940548181533813,0.09861712157726288,0.4999951720237732,-0.5000047087669373,-0.5000047087669373,0.49999526143074036,0.37993215355074306
43.0,1.0145884582021334,-0.6560300016409277,1.3987016695905223,-0.7426717660809736,-0.5561889158712935,0.0,0.08505406230688095,1.142202615737915,0.1100095584988594,0.49999523162841797,-0.5000047087669373,-0.5000047087669373,0.4999951720237732,0.42879590992318056
44.0,0.998610848259088,-0.6785445869503114,1.4641938320403762,-0.7856490642234296,-0.572166329551581,0.0,0.08500536531209946,1.1061803102493286,0.10264543443918228,0.4999951124191284,-0.500004768371582,-0.500004768371582,0.49999523162841797,0.25268460815529387
45.0,0.9754299713855733,-0.7041284013878449,1.5471253159625684,-0.8429968220463897,-0.5953472064250956,0.0,0.08558934181928635,1.0581122636795044,0.09095601737499237,0.4999951720237732,-0.500004768371582,-0.5000047087669373,0.4999952018260956,0.5888675714631726
46.0,0.9694429105865883,-0.7110538892317141,1.5692132661216651,-0.8581592278111646,-0.6013341115945667,0.0,0.08502130955457687,1.0452086925506592,0.08820543438196182,0.49999508261680603,-0.5000048279762268,-0.500004768371582,0.49999526143074036,0.27600016020306745
47.0,0.9692580104196447,-0.7102084020925922,1.5697854266614333,-0.8595771383137798,-0.6015190481817347,0.0,0.08504094928503036,1.0448681116104126,0.08697821199893951,0.4999951720237732,-0.500004768371582,-0.500004768371582,0.4999951422214508,0.29743550076230496
48.0,0.946949382506468,-0.721127263440437,1.6398260562462026,-0.9186989935041088,-0.6238277569996838,0.0,0.08508159220218658,1.001888394355774,0.06693968921899796,0.49999529123306274,-0.500004768371582,-0.500004768371582,0.49999508261680603,0.6217763951460293
49.0,0.9374966117674858,-0.7474464787939009,1.718416581039655,-0.6947763787687875,-0.3882794509957724,0.0,0.05647191405296326,1.0238909721374512,0.10757269710302353,0.3373158276081085,-0.5784437656402588,-0.5256528258323669,0.524699866771698,1.0
50.0,0.993128561923237,-0.790823047107483,1.701056409956492,-0.23958807583583264,-0.07494524012974485,0.0,0.01594599336385727,1.1016404628753662,0.1669289767742157,0.13128313422203064,-0.6778625249862671,-0.47163650393486023,0.5484760999679565,1.0
51.0,1.0487605120789885,-0.8341996154210655,1.6836962388733288,0.21560022709712623,0.2383889707362854,0.0,-0.019898466765880585,1.1251510381698608,0.17016708850860596,-0.04706600308418274,-0.7752905488014221,-0.34442469477653503,0.5273337364196777,1.0
52.0,1.1043924622347396,-0.8775761837346474,1.6663360677901657,0.6707885300300813,0.5517231816023129,0.0,-0.05726432055234909,1.0685337781906128,0.16232162714004517,-0.17504242062568665,-0.854293704032898,-0.15976636111736298,0.46261975169181824,1.0
53.0,1.2234304497976243,-0.9438575243074502,1.6433956729198926,0.8810166548866619,0.9214522611849014,0.0,-0.10299773514270782,0.9954744577407837,0.15743482112884521,-0.1653137356042862,-0.9332163333892822,-0.050571009516716,0.3149940073490143,1.0
54.0,1.4294611863533309,-1.041564091646749,1.612799240437321,0.755160707057785,1.3685548032855974,0.0,-0.13728812336921692,1.0151485204696655,0.17874279618263245,-0.05744965746998787,-0.9858767986297607,-0.12804564833641052,0.09138265252113342,1.0
55.0,1.511466101778407,-1.103235139953169,1.6513525841976935,0.6742043659519924,1.5503863233747377,0.0,-0.14957937598228455,1.0039372444152832,0.20678772032260895,-0.027441823855042458,-0.9844268560409546,-0.17356981337070465,0.004904268775135279,0.5589532724569648
56.0,1.5140402617125208,-1.1228058609637712,1.698397684123747,0.6466671109153472,1.5513379282800839,0.0,-0.15325607359409332,0.9777997136116028,0.197293221950531,-0.026256926357746124,-0.9844582676887512,-0.1735818088054657,0.0046582953073084354,0.6759529326530619
57.0,1.4994104882881236,-1.091009616027408,1.6211469179069522,0.692425782045318,1.5463605093385935,0.0,-0.1378839761018753,1.0217297077178955,0.21326088905334473,-0.03302793577313423,-0.9842547178268433,-0.17354430258274078,0.005843617953360081,0.6380104135966003
58.0,1.4890650664934386,-1.1114968082584655,1.6687396942411648,0.6655641325093657,1.5428768932539603,0.0,-0.13078345358371735,0.9972189664840698,0.20438553392887115,-0.037818897515535355,-0.9840816259384155,-0.1735183596611023,0.006665120366960764,0.2961664088564132
59.0,1.4632686002609996,-1.0999140122730662,1.6392077074713072,0.68430587001594,1.534089945038094,0.0,-0.10675893723964691,1.015909194946289,0.21118679642677307,-0.04975597560405731,-0.983551025390625,-0.1734204888343811,0.008769741281867027,0.3204346471239674
60.0,1.4394282454060003,-1.108013503202414,1.6569818721389311,0.6755382170166387,1.525987062018611,0.0,-0.08697805553674698,1.008358359336853,0.20843353867530823,-0.06078794598579407,-0.9829302430152893,-0.17331485450267792,0.010715070180594921,0.623721120754306
61.0,1.414685339220053,-1.1158760246504638,1.674576098655323,0.6669562776022029,1.517603110403149,0.0,-0.06682424247264862,1.0004911422729492,0.20557467639446259,-0.07223827391862869,-0.9821557998657227,-0.1731742024421692,0.012733741663396358,0.3350539496421905
62.0,1.3909269548435,-1.102666175411601,1.6428208544245537,0.6867740622567914,1.5095777271724193,0.0,-0.043118104338645935,1.0187439918518066,0.21222007274627686,-0.08323290944099426,-0.981284499168396,-0.17302484810352325,0.014672593213617802,0.30803919533021984
63.0,1.3757614762187798,-1.1248167892985497,1.7245700610877084,0.6280723525867271,1.5044651980488057,0.0,-0.03755003958940506,0.9794594049453735,0.1842234879732132,-0.09025043249130249,-0.9806625843048096,-0.17292311787605286,0.015912404283881187,1.0
64.0,1.385106762104334,-1.1348869992593653,1.7788576745598967,0.5833616252464611,1.5076272892537277,0.0,-0.05036892369389534,0.9529070258140564,0.16165688633918762,-0.0859287828207016,-0.9810575842857361,-0.17295295000076294,0.015145277604460716,0.25584631278005693
65.0,1.4454062775741572,-1.1338024147674473,1.7788293942949627,0.5793052554118913,1.5280252168424975,0.0,-0.09963218122720718,0.9489190578460693,0.1601966768503189,-0.05802343785762787,-0.9831036329269409,-0.17330871522426605,0.010225458070635796,0.397784056734437
66.0,1.4753275969251463,-1.1841163468757923,1.9711591359460177,0.16956286634268009,1.5199067150571524,0.0,-0.13074980676174164,0.9495844841003418,0.10980885475873947,-0.03778699040412903,-0.9521885514259338,-0.30300626158714294,0.009804599918425083,1.0
67.0,1.4753616491900843,-1.2877724806415003,2.3551855087280273,-0.6293846368789673,1.4843419233905237,0.0,-0.15000300109386444,0.8933659791946411,0.11734943091869354,-0.0170518197119236,-0.843204915523529,-0.537212073802948,0.010853512212634087,0.25
